VariableCode,RegionCode,YearCode,AggValue
rgdpna,COD,1996,12432.39672520590000000
rgdpna,COD,1997,11760.05229427570000000
rgdpna,COD,1998,11555.78794674200000000
rgdpna,COD,1999,11062.34383254740000000
rgdpna,COD,2000,10299.04113042850000000
rgdpna,COD,2001,10082.76041729260000000
rgdpna,COD,2002,10432.47964619990000000
rgdpna,COD,2003,11036.65391070310000000
rgdpna,COD,2004,11769.48233306330000000
rgdpna,COD,2005,12687.59021604500000000
rgdpna,COD,2006,13395.71679047800000000
rgdpna,COD,2007,14233.98830095880000000
rgdpna,COD,2008,15110.10477592720000000
rgdpna,COD,2009,15528.36166542030000000
rgdpna,COD,2010,16644.71184543040000000
rgdpna,COD,2011,17795.73128568930000000
rgdpna,FRA,1950,275321.92094212300000000
rgdpna,FRA,1951,290617.58321668500000000
rgdpna,FRA,1952,300030.29846257000000000
rgdpna,FRA,1953,310619.60311419000000000
rgdpna,FRA,1954,328268.44420022400000000
rgdpna,FRA,1955,345917.28528625700000000
rgdpna,FRA,1956,363566.12637229100000000
rgdpna,FRA,1957,383568.14626979500000000
rgdpna,FRA,1958,394157.45092141500000000
rgdpna,FRA,1959,404746.75557303600000000
rgdpna,FRA,1960,437691.25893363100000000
rgdpna,FRA,1961,460046.45764260700000000
rgdpna,FRA,1962,490637.78219173200000000
rgdpna,FRA,1963,522405.69614659200000000
rgdpna,FRA,1964,556526.78891292400000000
rgdpna,FRA,1965,583588.34524484200000000
rgdpna,FRA,1966,614179.66979396700000000
rgdpna,FRA,1967,644770.99434309200000000
rgdpna,FRA,1968,673009.14008074500000000
rgdpna,FRA,1969,721249.30571590400000000
rgdpna,FRA,1970,765959.70313385500000000
rgdpna,FRA,1971,806789.94143034400000000
rgdpna,FRA,1972,843397.02167679200000000
rgdpna,FRA,1973,899145.43469816100000000
rgdpna,FRA,1974,941322.52032595400000000
rgdpna,FRA,1975,930738.76683953800000000
rgdpna,FRA,1976,971560.43535814800000000
rgdpna,FRA,1977,1006270.93197411000000000
rgdpna,FRA,1978,1045464.98987823000000000
rgdpna,FRA,1979,1081526.39386386000000000
rgdpna,FRA,1980,1099225.48954526000000000
